D:\2filerj\anaconda3\envs\torch\python.exe D:\Pythonnnn\弱监督的农业社会化销售服务评价\1数据集构建\requests爬虫.py
当前店铺是第10090347939206个，评论数目是 125
当前店铺是第10086243658503个，评论数目是 240
当前店铺是第10090171908424个，评论数目是 220
当前店铺是第10064075865297个，评论数目是 240
当前店铺是第10090377713203个，评论数目是 96
当前店铺是第10090567938112个，评论数目是 191
当前店铺是第10063303397141个，评论数目是 59
当前店铺是第10062667028808个，评论数目是 238
当前店铺是第10060700454203个，评论数目是 183
当前店铺是第10066294959342个，评论数目是 186
当前店铺是第10088315377573个，评论数目是 82
当前店铺是第10060859603351个，评论数目是 240
当前店铺是第10066581113608个，评论数目是 168
当前店铺是第10024289073834个，评论数目是 94
当前店铺是第10039853445656个，评论数目是 87
当前店铺是第10067391783256个，评论数目是 78
当前店铺是第10042349017202个，评论数目是 221
当前店铺是第70790549116个，评论数目是 219
当前店铺是第10085111367416个，评论数目是 62
当前店铺是第10021824526751个，评论数目是 240
当前店铺是第10067103988853个，评论数目是 0
当前店铺是第10091952001359个，评论数目是 199
当前店铺是第10062505433655个，评论数目是 207
当前店铺是第10039196475438个，评论数目是 219
当前店铺是第10038077333455个，评论数目是 68
当前店铺是第10060705685284个，评论数目是 240
当前店铺是第10060816622126个，评论数目是 239
当前店铺是第10063483971191个，评论数目是 106
当前店铺是第10059066521531个，评论数目是 240
当前店铺是第10054782518453个，评论数目是 191
当前店铺是第10037726688067个，评论数目是 148
当前店铺是第10074073199856个，评论数目是 240
当前店铺是第10031025743675个，评论数目是 205
当前店铺是第10077540505867个，评论数目是 176
当前店铺是第10064167037865个，评论数目是 108
当前店铺是第10066928662779个，评论数目是 43
当前店铺是第10091877717947个，评论数目是 27
当前店铺是第10063231126149个，评论数目是 42
当前店铺是第10061422742368个，评论数目是 240
当前店铺是第10039686733410个，评论数目是 69
当前店铺是第10067437452699个，评论数目是 203
当前店铺是第10089995535535个，评论数目是 122
当前店铺是第10087994880452个，评论数目是 61
当前店铺是第10082550415058个，评论数目是 220
当前店铺是第10063233001022个，评论数目是 99
当前店铺是第10083252141078个，评论数目是 19
当前店铺是第10092867707837个，评论数目是 113
当前店铺是第10025678199844个，评论数目是 191
当前店铺是第10043519845850个，评论数目是 200
当前店铺是第10091753038594个，评论数目是 129
当前店铺是第10063009270927个，评论数目是 240
当前店铺是第10057543492929个，评论数目是 234
当前店铺是第10038273038789个，评论数目是 238
当前店铺是第10092654245571个，评论数目是 117
当前店铺是第10024700015734个，评论数目是 136
当前店铺是第10025180427516个，评论数目是 50
当前店铺是第100063945200个，评论数目是 59
当前店铺是第10081359632262个，评论数目是 22
当前店铺是第10064121812226个，评论数目是 218
当前店铺是第43296913884个，评论数目是 106
当前店铺是第10041682425656个，评论数目是 147
当前店铺是第10088034456439个，评论数目是 105
当前店铺是第10022638758709个，评论数目是 149
当前店铺是第100074103029个，评论数目是 88
当前店铺是第10062560130650个，评论数目是 120
当前店铺是第10039869787813个，评论数目是 23
当前店铺是第10063720730426个，评论数目是 113
当前店铺是第10063720730428个，评论数目是 113
当前店铺是第10065902260354个，评论数目是 116
当前店铺是第10082117697599个，评论数目是 29
当前店铺是第10064914094477个，评论数目是 72
当前店铺是第10075640804116个，评论数目是 200
当前店铺是第60302949881个，评论数目是 114
当前店铺是第10083701834184个，评论数目是 179

Process finished with exit code 0
